TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,NEIGHBOURHOOD
Break and Enter Residential/Other,2003,6,16,14,30,Mount Pleasant
Break and Enter Residential/Other,2003,10,28,11,53,Renfrew-Collingwood
Mischief,2003,8,3,22,20,Marpole
Break and Enter Residential/Other,2003,4,26,3,0,Strathcona
Theft of Vehicle,2003,8,17,21,30,Killarney
Theft of Vehicle,2003,5,23,21,0,Killarney
Theft of Vehicle,2003,1,8,1,0,Killarney
Break and Enter Residential/Other,2003,1,13,11,0,Riley Park
Break and Enter Residential/Other,2003,12,24,8,30,Grandview-Woodland
Break and Enter Residential/Other,2003,11,25,11,30,Grandview-Woodland
Break and Enter Residential/Other,2003,5,6,14,30,Grandview-Woodland
Break and Enter Residential/Other,2003,4,16,3,25,West End
Mischief,2003,1,31,17,40,Strathcona
Break and Enter Commercial,2003,4,29,5,30,Central Business District
Break and Enter Commercial,2003,8,14,20,0,Grandview-Woodland
Theft from Vehicle,2003,5,16,19,0,Central Business District
Theft from Vehicle,2003,4,19,19,0,Central Business District
Other Theft,2003,2,15,20,0,Grandview-Woodland
Other Theft,2003,3,13,23,59,Grandview-Woodland
Other Theft,2003,9,20,21,30,Grandview-Woodland
Mischief,2003,1,3,23,30,Central Business District
Other Theft,2003,12,14,11,45,Kerrisdale
Theft from Vehicle,2003,12,2,20,0,Victoria-Fraserview
Other Theft,2003,4,17,11,41,Central Business District
Other Theft,2003,3,27,11,0,Fairview
Other Theft,2003,8,3,23,0,Fairview
Other Theft,2003,12,30,18,30,Fairview
Other Theft,2003,2,6,13,0,Hastings-Sunrise
Mischief,2004,7,2,19,0,Mount Pleasant
Break and Enter Residential/Other,2004,3,29,23,0,Sunset
Break and Enter Residential/Other,2004,3,22,18,45,Fairview
Theft from Vehicle,2004,12,1,13,30,Marpole
Theft from Vehicle,2004,9,20,10,30,Marpole
Other Theft,2004,9,5,4,0,Marpole
Break and Enter Residential/Other,2004,8,15,13,0,Grandview-Woodland
Theft from Vehicle,2004,10,24,20,0,Killarney
Theft from Vehicle,2004,11,10,0,0,Sunset
Break and Enter Commercial,2004,12,13,5,52,Central Business District
Other Theft,2004,2,1,15,38,Sunset
Theft from Vehicle,2004,11,7,17,30,Sunset
Other Theft,2004,8,25,14,0,Strathcona
Theft of Vehicle,2004,9,22,23,30,Killarney
Theft of Vehicle,2004,4,11,23,0,Kerrisdale
Theft from Vehicle,2004,7,9,12,0,Hastings-Sunrise
Mischief,2004,1,25,23,36,Kerrisdale
Mischief,2004,6,24,17,0,Kerrisdale
Theft of Vehicle,2004,11,17,10,45,Renfrew-Collingwood
Mischief,2004,1,24,1,51,Strathcona
Theft from Vehicle,2004,8,25,0,0,Grandview-Woodland
Theft of Vehicle,2004,12,13,23,0,Hastings-Sunrise
Other Theft,2004,1,23,12,52,Fairview
Mischief,2004,1,30,15,15,Mount Pleasant
Mischief,2004,11,20,18,16,Hastings-Sunrise
Theft from Vehicle,2004,7,16,21,0,Grandview-Woodland
Other Theft,2004,2,25,0,0,Fairview
Break and Enter Commercial,2004,5,1,19,30,West End
Theft from Vehicle,2004,5,1,19,30,West End
Break and Enter Commercial,2005,8,8,14,50,West End
Other Theft,2005,6,27,8,0,Grandview-Woodland
Break and Enter Residential/Other,2005,8,29,8,30,Riley Park
Theft from Vehicle,2005,1,4,20,0,Grandview-Woodland
Theft from Vehicle,2005,4,14,1,0,Hastings-Sunrise
Mischief,2005,5,15,14,10,West End
Mischief,2005,10,24,17,9,West End
Theft from Vehicle,2005,4,5,20,0,Killarney
